Data di riferimento;Tamponi processati;Tamponi processati inerenti a Catanzaro;Tamponi rilevati sul territorio di Catanzaro;Nuovi positivi rilevati;Nuovi positivi inerenti a Catanzaro
07/09/2020;153;32;;8;1
06/09/2020;370;248;181;11;9
05/09/2020;457;307;;8;2
04/09/2020;294;163;;7;1
03/09/2020;343;215;;2;0
02/09/2020;;;;;
01/09/2020;273;174;;2;1
31/08/2020;340;105;24;11;3
30/08/2020;456;257;96;0;0
29/08/2020;;;;;
28/08/2020;389;237;;0;4
27/08/2020;415;329;;1;0
26/08/2020;348;213;91;1;1
25/08/2020;327;226;;4;0
24/08/2020;358;286;;0;0
23/08/2020;357;239;;2;0
